file_path,caption
../datalake/PASTIS24/pickle24x24/30460_10.pickle,"The crop of is visible in the image meadow with an approximate area of 29700 m2, winter barley spanning approximately 12500 m2, which represents a prominent portion of the region’s agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20450_14.pickle,"The crop of can be seen in the image grapevine with an estimated surface of 42900 m2, which equals a meaningful portion of the cultivated land in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40159_17.pickle,"A crop of can be identified in the image soft winter wheat with a dimension close to 24700 m2, grapevine with an estimated surface of 9700 m2, which constitutes an important part of the agricultural area in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30188_9.pickle,"The crop appearing in the image is meadow representing an area of around 27700 m2, which equals a meaningful portion of the cultivated land in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30393_6.pickle,"In the image, the cultivated area corresponds to meadow with an estimated size of 12000 m2, corn occupying around 27700 m2, which forms an essential part of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/10034_23.pickle,"This area has been identified with the crop of meadow covering an area close to 9900 m2, which represents a significant portion of the total cultivated land: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30315_9.pickle,"This area has been identified with the crop of meadow occupying around 33200 m2, winter rapeseed with an estimated size of 1200 m2, which corresponds to a relevant part of the cultivated area in this zone: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20404_24.pickle,"The image highlights the crop of meadow covering an area close to 10900 m2, sunflower covering an area close to 900 m2, grapevine with a dimension close to 14200 m2, fruits,  vegetables, flowers covering an area close to 8800 m2, which represents a significant portion of the total cultivated land: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20400_4.pickle,No evidence of crops was found in the image.
../datalake/PASTIS24/pickle24x24/10189_2.pickle,"A crop of can be identified in the image meadow with a coverage of approximately 44300 m2, which forms an essential part of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40557_1.pickle,"The crop appearing in the image is corn occupying around 37300 m2, which accounts for a considerable fraction of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30376_10.pickle,"The image displays the crop of meadow covering an area close to 20300 m2, winter barley covering about 11300 m2, which constitutes an important part of the agricultural area in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30430_4.pickle,"The crop of can be seen in the image meadow with an estimated size of 54700 m2, which forms an essential part of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20621_5.pickle,"This area has been identified with the crop of grapevine with an estimated size of 33200 m2, which corresponds to a considerable share of the available agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20216_19.pickle,"In the image, the cultivated area corresponds to winter barley covering an area close to 10900 m2, which covers a notable fraction of the total arable land: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30022_21.pickle,"The image shows the presence of meadow with an estimated surface of 20800 m2, corn representing an area of around 24800 m2, potatoes covering about 11100 m2, which forms an essential part of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40169_6.pickle,"This area has been identified with the crop of soft winter wheat with a coverage of approximately 2000 m2, fruits,  vegetables, flowers with a dimension close to 13000 m2, soybeans with a coverage of approximately 16000 m2, which constitutes an important part of the agricultural area in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/10185_7.pickle,"The image reveals a crop of meadow with a dimension close to 37000 m2, corn spanning approximately 1700 m2, leguminous fodder with an approximate area of 7600 m2, which equals a meaningful portion of the cultivated land in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/10400_16.pickle,"The crop appearing in the image is corn with an approximate area of 8900 m2, orchard representing an area of around 26000 m2, which corresponds to a relevant part of the cultivated area in this zone: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30613_21.pickle,"The crop appearing in the image is meadow representing an area of around 17400 m2, soft winter wheat with a coverage of approximately 22300 m2, corn with an estimated size of 16500 m2, which represents a prominent portion of the region’s agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20082_19.pickle,"The image reveals a crop of grapevine with a dimension close to 5400 m2, leguminous fodder with an estimated size of 19800 m2, which corresponds to a considerable share of the available agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30544_0.pickle,"This area has been identified with the crop of meadow occupying around 9200 m2, corn covering about 7400 m2, which represents a significant portion of the total cultivated land: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20420_16.pickle,"The image reflects the crop of grapevine occupying around 4500 m2, fruits,  vegetables, flowers with an estimated surface of 3800 m2, orchard with a coverage of approximately 8600 m2, which forms an essential part of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40218_24.pickle,The image shows no signs of agricultural activity.
../datalake/PASTIS24/pickle24x24/20110_8.pickle,"The image shows the presence of sunflower with an approximate area of 33600 m2, fruits,  vegetables, flowers with a dimension close to 7800 m2, which equals a meaningful portion of the cultivated land in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/10432_13.pickle,"The crop appearing in the image is meadow with an approximate area of 51800 m2, which represents a prominent portion of the region’s agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30095_6.pickle,"The image reveals a crop of winter rapeseed with an approximate area of 7300 m2, which covers a notable fraction of the total arable land: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30236_19.pickle,"The image represents a cultivated area of meadow with a coverage of approximately 700 m2, which forms an essential part of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20586_16.pickle,"This land shows the presence of the crop of meadow with a dimension close to 29800 m2, leguminous fodder covering an area close to 2400 m2, which accounts for a considerable fraction of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40400_3.pickle,"This land shows the presence of the crop of soft winter wheat covering about 7600 m2, spring barley spanning approximately 31400 m2, which accounts for a considerable fraction of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40156_6.pickle,"The image displays the crop of soft winter wheat with an estimated size of 16100 m2, corn representing an area of around 37000 m2, leguminous fodder occupying around 2800 m2, which accounts for a considerable fraction of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40497_16.pickle,"The image reflects the crop of meadow with an approximate area of 6100 m2, which represents a prominent portion of the region’s agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20003_16.pickle,"The crop appearing in the image is fruits,  vegetables, flowers with a dimension close to 4500 m2, sorghum with an estimated surface of 5300 m2, which accounts for a considerable fraction of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20480_15.pickle,"The image reflects the crop of meadow with an estimated surface of 1000 m2, leguminous fodder with a dimension close to 21300 m2, which corresponds to a relevant part of the cultivated area in this zone: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20400_12.pickle,"The crop of is visible in the image winter durum wheat representing an area of around 13700 m2, which corresponds to a considerable share of the available agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/10122_8.pickle,"The image reveals a crop of soft winter wheat with an estimated size of 14700 m2, winter barley representing an area of around 31700 m2, which represents a prominent portion of the region’s agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20171_15.pickle,No cultivated land was detected in this area.
../datalake/PASTIS24/pickle24x24/40439_5.pickle,"The image highlights the crop of meadow with a dimension close to 1600 m2, corn with an estimated surface of 9700 m2, which constitutes an important part of the agricultural area in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40423_5.pickle,"The crop appearing in the image is meadow with an approximate area of 1200 m2, corn with an estimated size of 3800 m2, winter rapeseed with an approximate area of 7200 m2, spring barley occupying around 43300 m2, which corresponds to a relevant part of the cultivated area in this zone: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40105_1.pickle,"The image reveals a crop of meadow with an estimated surface of 17900 m2, corn with a dimension close to 18400 m2, leguminous fodder with a dimension close to 10500 m2, which represents a significant portion of the total cultivated land: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/10465_10.pickle,"This area has been identified with the crop of meadow covering about 8600 m2, corn representing an area of around 20300 m2, which accounts for a considerable fraction of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20037_0.pickle,The image shows no signs of agricultural activity.
../datalake/PASTIS24/pickle24x24/40015_11.pickle,The image shows no sign of any crop.
../datalake/PASTIS24/pickle24x24/20037_10.pickle,"This land shows the presence of the crop of winter durum wheat with an estimated size of 1700 m2, sorghum with an estimated size of 33600 m2, which constitutes an important part of the agricultural area in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40028_21.pickle,"The image reveals a crop of soft winter wheat with an estimated surface of 300 m2, corn covering about 17900 m2, beet covering about 11100 m2, orchard with an approximate area of 13800 m2, which represents a prominent portion of the region’s agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/10522_18.pickle,No visible crops appear in the analyzed image.
../datalake/PASTIS24/pickle24x24/30342_4.pickle,No crops were identified in the image.
../datalake/PASTIS24/pickle24x24/10122_1.pickle,"The crop of is visible in the image meadow with an estimated size of 100 m2, which represents a significant percentage of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30081_14.pickle,"A crop of can be identified in the image meadow occupying around 29400 m2, which constitutes an important part of the agricultural area in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/10263_15.pickle,"In the image, the cultivated area corresponds to soft winter wheat occupying around 5100 m2, beet with a dimension close to 9500 m2, which represents a significant percentage of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20316_13.pickle,"The image shows a cultivated area of grapevine with an estimated surface of 1900 m2, which equals a meaningful portion of the cultivated land in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20051_22.pickle,"This area has been identified with the crop of meadow with an estimated size of 24300 m2, corn spanning approximately 3600 m2, soybeans representing an area of around 27200 m2, which accounts for a considerable fraction of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20586_8.pickle,No crops were identified in the image.
../datalake/PASTIS24/pickle24x24/40239_17.pickle,"The crop of is visible in the image meadow with an approximate area of 44900 m2, which represents a prominent portion of the region’s agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20597_3.pickle,"A cultivated area with can be observed meadow covering an area close to 2400 m2, grapevine with an estimated surface of 6700 m2, which accounts for a considerable fraction of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40346_17.pickle,"This land shows the presence of the crop of corn with an estimated surface of 47700 m2, spring barley spanning approximately 8700 m2, which represents a significant percentage of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30480_9.pickle,No crop was detected in the image.
../datalake/PASTIS24/pickle24x24/30526_4.pickle,The image shows no sign of any crop.
../datalake/PASTIS24/pickle24x24/20374_9.pickle,"A cultivated area with can be observed corn with a coverage of approximately 2200 m2, which corresponds to a considerable share of the available agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30095_21.pickle,"The crop of can be seen in the image meadow spanning approximately 49300 m2, which represents a significant percentage of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40061_5.pickle,"The image reveals a crop of corn representing an area of around 24600 m2, which represents a prominent portion of the region’s agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/40417_2.pickle,There is no visible crop presence in this area.
../datalake/PASTIS24/pickle24x24/10432_12.pickle,"A cultivated area with can be observed meadow representing an area of around 25800 m2, soft winter wheat with a coverage of approximately 1300 m2, winter rapeseed with a dimension close to 9900 m2, which represents a significant percentage of the total agricultural area: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20422_6.pickle,"The crop of is visible in the image orchard with an approximate area of 25300 m2, which equals a meaningful portion of the cultivated land in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/20260_21.pickle,"The image shows a cultivated area of winter barley representing an area of around 12000 m2, which equals a meaningful portion of the cultivated land in the region: 57600 m2.
"
../datalake/PASTIS24/pickle24x24/30263_5.pickle,No cultivated land was detected in this area.
../datalake/PASTIS24/pickle24x24/10020_3.pickle,"This land shows the presence of the crop of meadow with an estimated surface of 26600 m2, soft winter wheat with a coverage of approximately 6200 m2, which accounts for a considerable fraction of the total agricultural area: 57600 m2.
"
